,"
396,"
","asq 
","
",,"
",,"
",I/L,"
",French Sign,"
",,"
",Austrian Sign Language,"
",langue des signes autrichienne,"
",,"
",奥地利手语,"
",австрийский жестовый,"
","
"
397,"
","asr 
","
",,"
",,"
",I/L,"
",Austroasiatic,"
",,"
",Asuri,"
",,"
",,"
",,"
",асури,"
","
"
398,"
","ass 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Ipulo,"
",,"
",,"
",,"
",ипуло,"
","
"
399,"
","ast 
","
",,"
",ast,"
",I/L,"
",Indo-European,"
",asturianu,"
",Asturian,"
",asturien,"
",asturiano,"
",阿斯图里亚斯语,"
",астурийский,"
","Asturisch
"
400,"
","asu 
","
",,"
",,"
",I/L,"
",Tupian,"
",,"
",Asuriní,"
",,"
",asuriní,"
",,"
",асурини,"
","
"
401,"
","asv 
","
",,"
",,"
",I/L,"
",Nilo-Saharan,"
",,"
",Asoa,"
",,"
",,"
",,"
",асоа,"
","
"
402,"
","asw 
","
",,"
",,"
",I/L,"
",Australian Aboriginal Sign,"
",,"
",Australian Aborigines Sign Language,"
",,"
",,"
",澳大利亚原住民手语,"
",жестовые языки австралийских аборигенов,"
","
"
403,"
","asx 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Muratayak,"
",,"
",,"
",,"
",муратаяк,"
","
"
404,"
","asy 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Asmat (Yaosakor),"
",,"
",,"
",,"
",асмат (яосакор),"
","
"
405,"
","asz 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",As,"
",,"
",,"
",,"
",ас,"
","
"
406,"
","ata 
","
",,"
",,"
",I/L,"
",Yele-West New Britain,"
",,"
",Pele-Ata,"
",,"
",,"
",,"
",пеле-ата,"
","
"
407,"
","atb 
","
",,"
",,"
",I/L,"
",Sino-Tibetan,"
",,"
",Zaiwa,"
",,"
",,"
",载瓦语,"
",зайва,"
","
"
408,"
","atc 
","
",,"
",,"
",I/E,"
",Pano-Tacanan,"
",,"
",Atsahuaca,"
",,"
",atsawaka,"
",,"
",атсауака,"
","
"
409,"
","atd 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
","Manobo, Ata","
",,"
",,"
",,"
",ата-манобо,"
","
"
410,"
","ate 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Atemble,"
",,"
",,"
",,"
",атембле,"
","
"
411,"
","(atf) 
","
",,"
",,"
",I/L,"
",spurious language,"
",,"
",Atuence,"
",,"
",,"
",,"
",атуэнке,"
","
"
412,"
","atg 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Ivbie North-Okpela-Arhe,"
",,"
",,"
",,"
",северно-окпела-арче ивбиэ,"
","
"
413,"
","ati 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Attié,"
",,"
",,"
",,"
",аттиэ,"
","
"
414,"
","atj 
","
",,"
",,"
",I/L,"
",Algic,"
",Atikamekw,"
",Atikamekw,"
",atikamekw,"
",,"
",,"
",атикамек,"
","
"
415,"
","atk 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Ati,"
",,"
",,"
",,"
",ати,"
","
"
416,"
","atl 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Agta (Mt. Iraya),"
",,"
",,"
",,"
",агта (гора Ирая),"
","
"
417,"
","atm 
","
",,"
",,"
",I/L,"
",Yele-West New Britain,"
",,"
",Ata,"
",,"
",,"
",,"
",ата,"
","
"
418,"
","atn 
","
",,"
",,"
",I/L,"
",Indo-European,"
",,"
",Ashtiani,"
",,"
",,"
",,"
",аштиани,"
","
"
419,"
","ato 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Atong,"
",,"
",,"
",,"
",атонг,"
","
"
420,"
","atp 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Atta (Pudtol),"
",,"
",,"
",,"
",атта (пудтол),"
","
"
421,"
","atq 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Aralle-Tabulahan,"
",,"
",,"
",,"
",аралле-табулахан,"
","
"
422,"
","atr 
","
",,"
",,"
",I/L,"
",Cariban,"
",,"
",Atruahí,"
",,"
",atruahí,"
",,"
",атруахи,"
","
"
423,"
","ats 
","
",,"
",,"
",I/L,"
",Algic,"
",,"
",Gros Ventre,"
",,"
",,"
",,"
",грос вентре,"
","
"
424,"
","att 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Atta (Pamplona),"
",,"
",,"
",,"
",атта (памплона),"
","
"
425,"
","atu 
","
",,"
",,"
",I/L,"
",Nilo-Saharan,"
",,"
",Reel,"
",,"
",,"
",,"
",реель,"
","
"
426,"
","atv 
","
",,"
",,"
",I/L,"
",Turkic,"
",,"
",Altai (Northern),"
",altaï (du Nord),"
",,"
",北阿尔泰语,"
",алтайский северный,"
","
"
427,"
","atw 
","
",,"
",,"
",I/L,"
",Hokan,"
",,"
",Atsugewi,"
",,"
",,"
",,"
",атсугеви,"
","
"
428,"
","atx 
","
",,"
",,"
",I/L,"
",Arutani–Sape,"
",,"
",Arutani,"
",,"
",,"
",,"
",арутани,"
","
"
429,"
","aty 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Aneityum,"
",,"
",,"
",,"
",анейтьюм,"
","
"
430,"
","atz 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Arta,"
",,"
",,"
",,"
",арта,"
","
"
431,"
","aua 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Asumboa,"
",,"
",,"
",,"
",асумбоа,"
","
"
432,"
","aub 
","
",,"
",,"
",I/L,"
",Sino-Tibetan,"
",,"
",Alugu,"
",,"
",,"
",,"
",алугу,"
","
"
433,"
","auc 
","
",,"
",,"
",I/L,"
",isolate,"
",Huao Terero,"
",Waorani,"
",,"
",,"
",,"
",ваорани,"
","
"
434,"
","aud 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Anuta,"
",,"
",,"
",,"
",анута,"
","
"
435,"
","(aue) 
","
",,"
",,"
",I/L,"
",Kx'a,"
",,"
",ǂKx’auǁ’ein,"
",,"
",,"
",,"
",чъкхаулъэйн,"
","
"
436,"
","aug 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Aguna,"
",,"
",,"
",,"
",агуна,"
","
"
437,"
","auh 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Aushi,"
",,"
",,"
",,"
",ауши,"
","
"
438,"
","aui 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Anuki,"
",,"
",,"
",,"
",ануки,"
","
"
439,"
","auj 
","
",,"
",,"
",I/L,"
",Afro-Asiatic,"
",,"
",Awjilah,"
",,"
",,"
",,"
",авджила,"
","
"
440,"
","auk 
","
",,"
",,"
",I/L,"
",Torricelli,"
",,"
",Heyo,"
",,"
",,"
",,"
",хейо,"
","
"
441,"
","aul 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Aulua,"
",,"
",,"
",,"
",аулуа,"
","
"
442,"
","aum 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Asu (Nigeria),"
",,"
",,"
",,"
",асу (Нигерия),"
","
"
443,"
","aun 
","
",,"
",,"
",I/L,"
",Torricelli,"
",,"
","One, Molmo","
",,"
",,"
",,"
",молмо-оне,"
","
"
444,"
","auo 
","
",,"
",,"
",I/E,"
",Afro-Asiatic,"
",,"
",Auyokawa,"
",,"
",,"
",,"
",ауйокава,"
","
"
445,"
","aup 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Makayam,"
",,"
",,"
",,"
",макаям,"
","
"
446,"
","auq 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Anus,"
",,"
",,"
",,"
",анус,"
","
"
447,"
","aur 
","
",,"
",,"
",I/L,"
",Torricelli,"
",,"
",Aruek,"
",,"
",,"
",,"
",аруэк,"
","
"
448,"
","aut 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Austral,"
",austral,"
",,"
",,"
",аустрал,"
","
"
449,"
","auu 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Auye,"
",,"
",,"
",,"
",ауйе,"
","
"
450,"
","(auv) 
","
",,"
",,"
",I/L,"
",Indo-European,"
",,"
",Auvergnat,"
",,"
",,"
",,"
",овернский диалект,"
","
"
451,"
","auw 
","
",,"
",,"
",I/L,"
",Border,"
",,"
",Awyi,"
",,"
",,"
",,"
",авьи,"
","
"
452,"
","aux 
","
",,"
",,"
",I/E,"
",Tupian,"
",,"
",Aurá,"
",,"
",,"
",,"
",аура,"
","
"
453,"
","auy 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Awiyaana,"
",,"
",,"
",,"
",авияана,"
","
"
454,"
","auz 
","
",,"
",,"
",I/L,"
",Arabic,"
",,"
",Arabic (Uzbeki),"
",arabe (ouzbek),"
",,"
",乌兹别克阿拉伯语,"
",арабский (Узбекистан),"
","Arabisch (Uzbekistan)
"
455,"
","ava 
","
",av,"
",ava,"
",I/L,"
",Northeast Caucasian,"
",авар,"
",Avaric,"
",avar,"
",avaro,"
",阿瓦尔语,"
",аварский,"
","
"
456,"
","avb 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Avau,"
",,"
",,"
",,"
",авау,"
","
"
457,"
","avd 
","
",,"
",,"
",I/L,"
",Indo-European,"
",,"
",Alviri-Vidari,"
",,"
",,"
",,"
",алвири-видари,"
","
"
458,"
","ave 
","
",ae,"
",ave,"
",I/A,"
",Indo-European,"
",avesta,"
",Avestan,"
",avestique,"
",,"
",阿维斯陀语,"
",авестийский,"
","
"
459,"
","avi 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Avikam,"
",,"
",,"
",阿维坎语,"
",авикам,"
","
"
460,"
","avk 
","
",,"
",,"
",I/C,"
",constructed,"
",Kotava,"
",Kotava,"
",kotava,"
",kotava,"
",,"
",Котава,"
","
"
461,"
","avl 
","
",,"
",,"
",I/L,"
",Arabic,"
",,"
",Arabic (Eastern Egyptian Bedawi),"
",arabe (Bédawi égyptien oriental),"
",,"
",,"
",арабский (восточный египетский бедави),"
","Arabisch (Ostägypten)
"
462,"
","avm 
","
",,"
",,"
",I/E,"
",Pama–Nyungan,"
",,"
",Angkamuthi,"
",,"
",,"
",,"
",ангкамути,"
","
"
463,"
","avn 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Avatime,"
",,"
",,"
",阿瓦蒂梅语,"
",аватиме,"
","
"
464,"
","avo 
","
",,"
",,"
",I/E,"
",Arawakan,"
",,"
",Agavotaguerra,"
",,"
",,"
",,"
",агавотагерра,"
","
"
465,"
","avs 
","
",,"
",,"
",I/E,"
",Zaparoan,"
",,"
",Aushiri,"
",,"
",aushiri,"
",,"
",аушири,"
","
"
466,"
","avt 
","
",,"
",,"
",I/L,"
",Torricelli,"
",,"
",Au,"
",,"
",,"
",,"
",ау,"
","
"
467,"
","avu 
","
",,"
",,"
",I/L,"
",Nilo-Saharan,"
",,"
",Avokaya,"
",,"
",,"
",,"
",авокая,"
","
"
468,"
","avv 
","
",,"
",,"
",I/L,"
",Tupian,"
",,"
",Avá-Canoeiro,"
",,"
",avá-canoeiro,"
",,"
",ава-каноэйро,"
","
"
469,"
","awa 
","
",,"
",awa,"
",I/L,"
",Indo-European,"
",आवधी,"
",Awadhi,"
",awadhi,"
",awadhi,"
",阿瓦德语,"
",авадхи,"
","
"
470,"
","awb 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Awa,"
",,"
",awá,"
",,"
",ава,"
","
"
471,"
","awc 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Acipa (Western),"
",,"
",,"
",,"
",ачипа,"
","
"
472,"
","awe 
","
",,"
",,"
",I/L,"
",Tupian,"
",,"
",Awetí,"
",,"
",awetí,"
",,"
",авети,"
","
"
473,"
","awg 
","
",,"
",,"
",I/E,"
",Pama–Nyungan,"
",,"
",Anguthimri,"
",,"
",,"
",,"
",ангутимри,"
","
"
474,"
","awh 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Awbono,"
",,"
",,"
",,"
",авбоно,"
","
"
475,"
","awi 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Aekyom,"
",,"
",,"
",,"
",аэкьом,"
","
"
476,"
","awk 
","
",,"
",,"
",I/E,"
",Pama–Nyungan,"
",,"
",Awabakal,"
",,"
",,"
",,"
",авапакал,"
","
"
477,"
","awm 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Arawum,"
",,"
",,"
",,"
",аравум,"
","
"
478,"
","awn 
","
",,"
",,"
",I/L,"
",Afro-Asiatic,"
",,"
",Awngi,"
",,"
",,"
",,"
",авнги,"
","
"
479,"
","awo 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Awak,"
",,"
",,"
",,"
",авак,"
","
"
480,"
","awr 
","
",,"
",,"
",I/L,"
",Lakes Plain,"
",,"
",Awera,"
",,"
",,"
",,"
",авера,"
","
"
481,"
","aws 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Awyu (South),"
",,"
",,"
",,"
",авью (южный),"
","
"
482,"
","awt 
","
",,"
",,"
",I/L,"
",Tupian,"
",,"
",Araweté,"
",,"
",araweté,"
",,"
",аравете,"
","
"
483,"
","awu 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Awyu (Central),"
",,"
",,"
",,"
",авью (центральный),"
","
"
484,"
","awv 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Awyu (Jair),"
",,"
",,"
",,"
",авью (джаир),"
","
"
485,"
","aww 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Awun,"
",,"
",,"
",,"
",авун,"
","
"
486,"
","awx 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Awara,"
",,"
",,"
",,"
",авара,"
","
"
487,"
","awy 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Awyu (Edera),"
",,"
",,"
",,"
",авью (эдера),"
","
"
488,"
","axb 
","
",,"
",,"
",I/E,"
",Guaicuruan,"
",,"
",Abipon,"
",,"
",,"
",,"
",абипон,"
","
"
489,"
","axe 
","
",,"
",,"
",I/E,"
",Pama–Nyungan,"
",,"
",Ayerrerenge,"
",,"
",,"
",,"
",айерренге,"
","
"
490,"
","axg 
","
",,"
",,"
",I/E,"
",unclassified,"
",,"
",Arára (Mato Grosso),"
",,"
",,"
",,"
",арара (Мату-Гросу),"
","
"
491,"
","axk 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Yaka (Central African Republic),"
",,"
",,"
",,"
",яка (ЦАР),"
","
"
492,"
","axl 
","
",,"
",,"
",I/E,"
",Pama–Nyungan,"
",,"
",Lower Southern Aranda,"
",,"
",,"
",,"
",нижне-южный аранта,"
","
"
493,"
","axm 
","
",,"
",,"
",I/H,"
",Indo-European,"
",,"
","Armenian, Middle","
",arménien (moyen),"
",,"
",中古亚美尼亚语,"
",средний армянский,"
","
"
494,"
","axx 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Xaragure,"
",,"
",,"
",,"
",харагуре,"
","
"
495,"
","aya 
","
",,"
",,"
",I/L,"
",Ramu,"
",,"
",Awar,"
",,"
",,"
",,"
",авар,"
","
"
496,"
","ayb 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
","Gbe, Ayizo","
",,"
",,"
",,"
",айизо,"
","
"
497,"
","ayc 
","
",,"
",,"
",I/L,"
",Aymaran,"
",,"
","Aymara, Southern","
",,"
",,"
",南艾马拉语,"
",южный аймара,"
","
"
498,"
","ayd 
","
",,"
",,"
",I/E,"
",Pama–Nyungan,"
",,"
",Ayabadhu,"
",,"
",,"
",,"
",аяпату,"
","
"
499,"
","aye 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Ayere,"
",,"
",,"
",,"
",айере,"
","
"
500,"
","ayg 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Ginyanga,"
",,"
",,"
",,"
",гиньянга,"
","
"
501,"
","ayh 
","
",,"
",,"
",I/L,"
",Arabic,"
",,"
",Arabic (Hadrami),"
",arabe (Hadrami),"
",,"
",,"
",арабский (хадрами),"
","Arabisch (Hadrami)
"
502,"
","ayi 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Yigha,"
",,"
",,"
",,"
",Йигха,"
","
"
503,"
","ayk 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Akuku,"
",,"
",,"
",,"
",акуку,"
","
"
504,"
","ayl 
","
",,"
",,"
",I/L,"
",Afro-Asiatic,"
",,"
",Arabic (Libyan),"
",arabe (lybien),"
",,"
",利比亚阿拉伯语,"
",арабский (ливийский),"
","Arabisch (Lybien)
"
505,"
","aym 
","
",ay,"
",aym,"
",M/L,"
",Aymaran,"
",aymar,"
",Aymara,"
",aymara,"
",aimara,"
",艾马拉语,"
",аймара,"
","Aymara
"
506,"
","ayn 
","
",,"
",,"
",I/L,"
",Arabic,"
",,"
",Arabic (Sanaani),"
",arabe (Sanaani),"
",,"
",萨那阿拉伯语,"
",арабский (санаани),"
","Arabisch (Sanaani)
"
507,"
","ayo 
","
",,"
",,"
",I/L,"
",Zamucoan,"
",,"
",Ayoreo,"
",,"
",,"
",,"
",айорео,"
","
"
508,"
","ayp 
","
",,"
",,"
",I/L,"
",Arabic,"
",,"
",Arabic (North Mesopotamian),"
",arabe (mésopotamien du Nord),"
",,"
",北美索不达米亚阿拉伯语,"
",арабский (северный месопотамский),"
","Arabisch (Nordmesopotamien)
"
509,"
","ayq 
","
",,"
",,"
",I/L,"
",Sepik,"
",,"
",Ayi (Papua New Guinea),"
",,"
",,"
",,"
",айи (Папуа-Новая Гвинея),"
","
"
510,"
","ayr 
","
",,"
",,"
",I/L,"
",Aymaran,"
",,"
",Aymara (Central),"
",,"
",,"
",中艾马拉语,"
",центральный аймара,"
","
"
511,"
","ays 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Ayta (Sorsogon),"
",,"
",,"
",,"
",сорсогонский айта,"
","
"
512,"
","ayt 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Ayta (Bataan),"
",,"
",,"
",,"
",батаанский айта,"
","
"
513,"
","ayu 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Ayu,"
",,"
",,"
",,"
",аю,"
","
"
514,"
","(ayx) 
","
",,"
",,"
",I/L,"
",Sino-Tibetan,"
",,"
",Ayi (China),"
",,"
",,"
",,"
",айи (Китай),"
","
"
515,"
","(ayy) 
","
",,"
",,"
",I/E,"
",spurious language,"
",,"
","Ayta, Tayabas","
",,"
",,"
",,"
",таябасский айта,"
","
"
516,"
","ayz 
","
",,"
",,"
",I/L,"
",West Papuan,"
",,"
",Mai Brat,"
",,"
",,"
",,"
",маи-брат,"
","
"
517,"
","aza 
","
",,"
",,"
",I/L,"
",Sino-Tibetan,"
",,"
",Azha,"
",,"
",,"
",,"
",ажа,"
","
"
518,"
","azb 
","
",,"
",,"
",I/L,"
",Turkic,"
",,"
","Azerbaijani, South","
",azéri (du Sud),"
",,"
",南阿塞拜疆语,"
",южный азербайджанский,"
","
"
519,"
","azd 
","
",,"
",,"
",I/L,"
",Uto-Aztecan,"
",,"
",Eastern Durango Nahuatl,"
",,"
",,"
",,"
",восточнодурангский науатль,"
","
"
520,"
","aze 
","
",az,"
",aze,"
",M/L,"
",Turkic,"
",Azərbaycan,"
",Azerbaijani,"
",azéri,"
",azerbayano,"
",阿塞拜疆语,"
",азербайджанский,"
","Aserbaidschanisch
"
521,"
","azg 
","
",,"
",,"
",I/L,"
",Oto-Manguean,"
",,"
",Amuzgo (San Pedro Amuzgos),"
",,"
",,"
",,"
",сан-педро амусгосский амусго,"
","
"
522,"
","azj 
","
",,"
",,"
",I/L,"
",Azeri,"
",,"
",Azerbaijani (North),"
",azéri (du Nord),"
",,"
",北阿塞拜疆语,"
",азербайджанский северный,"
","Aserbaidschanisch (Nord-)
"
523,"
","azm 
","
",,"
",,"
",I/L,"
",Oto-Manguean,"
",,"
",Amuzgo (Ipalapa),"
",,"
",,"
",,"
",ипалапанский амусго,"
","
"
524,"
","azn 
","
",,"
",,"
",I/L,"
",Uto-Aztecan,"
",,"
",Western Durango Nahuatl,"
",,"
",,"
",,"
",западно-дурангский науатль,"
","
"
525,"
","azo 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Awing,"
",,"
",,"
",,"
",авинг,"
","
"
526,"
","(azr) 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Adzera,"
",,"
",,"
",,"
",адзера,"
","
"
527,"
","azt 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Atta (Faire),"
",,"
",,"
",,"
",файре-атта,"
","
"
528,"
","azz 
","
",,"
",,"
",I/L,"
",Uto-Aztecan,"
",,"
",Nahuatl (Highland Puebla),"
",,"
",,"
",,"
",горно-пуэбланский науатль,"
","
"
